wmc,atfd,tcc,WMCNAMM,InnerClass,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Smell
3,2,1.00,2,0,1.33,1.33,1.33,1,7,0,7,0,1,8,0,0,0,3,7,3,3,0,0,0,3,38,8,30,12,13,0,16,21,11,10,2,2,2,1,1,1,42.86,0,4,4,4,3,FALSE
11,8,0.04,8,0,1.33,1.33,1.33,1,4.67,0,4.67,0,1,7,0,0,0,9,3,9,26,0,3,3,3,55,8,47,15,20,0,19,32,15,17,3,3,3,1,3,2,77.78,0,12,12,12,9,FALSE
24,10,0.01,19,1,1.27,1.27,1.27,1,7,0.07,5.87,01.07,3,14,0,0,0,15,10,15,15,0,3,0,12,176,33,120,44,61,23,62,88,45,43,3,3,3,1,1,1,89.33,0.19,19,19,19,15,FALSE
28,0,0.00,20,7,01.05,01.05,01.05,1,3.55,0.05,3.5,0,1,16,2,0,1,22,6,22,22,0,0,9,13,429,84,337,120,137,8,128,225,116,109,2,2,2,1,2,1,92.21,0.02,23,23,23,22,FALSE
7,2,0.67,5,0,1.5,1.5,1.5,1,7.5,0,7.17,0.33,1,0,0,0,0,6,5,6,6,0,0,0,6,57,8,46,16,30,3,31,39,16,23,4,4,4,1,1,1,36.67,0.07,9,9,9,6,FALSE
44,22,0.09,27,6,1.67,1.67,2,1.17,7.67,0.17,6.58,0.92,1,5,0,0,0,12,5,12,12,6,0,0,6,299,67,212,84,97,20,111,164,88,76,5,5,6,3,1,2,73.33,0.09,20,20,24,14,FALSE
191,249,0.04,185,4,3.65,3.65,3.98,1.83,19.98,0.5,18,1.74,2,37,0,0,6,46,20,46,56,0,29,0,17,1149,119,933,321,678,113,489,666,282,384,19,19,24,15,2,6,93.23,0.12,168,168,183,84,FALSE
101,109,0.00,93,1,1.76,1.76,1.85,1,10.54,0.71,9.24,0.61,6,30,0,0,0,41,22,41,41,1,8,0,32,590,90,460,103,288,41,231,330,120,210,7,7,7,1,2,3,92.24,0.09,72,72,76,41,FALSE
200,259,0.00,186,7,2.97,2.92,2.97,1.28,27.67,1.97,21.06,4.69,2,28,0,0,1,36,9,36,41,8,12,1,15,1542,176,1056,276,787,313,572,781,279,502,12,12,12,5,3,3,91.67,0.3,107,105,107,46,TRUE
104,55,0.01,102,0,03.09,02.06,3.12,1.47,14.31,0.44,10.41,3.56,3,23,0,0,12,32,5,32,32,0,1,0,31,560,65,352,89,262,147,177,241,86,155,27,17,28,8,2,4,94.67,0.42,99,66,100,47,TRUE
25,22,0.04,24,1,1.4,1.4,1.4,1,16,0.4,15.6,0,1,3,2,0,0,5,1,5,5,0,0,5,0,128,14,112,33,70,2,58,83,37,46,2,2,2,1,2,1,60,0.02,7,7,7,5,FALSE
51,99,0.16,51,0,4.5,4.5,4.7,1,38.7,3.7,30.9,4.1,2,7,0,0,0,10,12,10,20,0,5,0,5,449,61,324,57,263,64,210,260,69,191,9,9,9,1,3,3,60,0.2,45,45,47,10,FALSE
53,30,0.00,46,1,1.57,1.57,1.57,01.07,6.7,0.13,6.33,0.27,3,12,0,1,0,29,6,30,30,3,4,0,23,292,48,232,79,129,13,128,182,87,95,4,4,4,3,1,2,85.56,0.06,47,47,47,32,TRUE
42,18,0.00,40,0,1.33,1.33,1.33,01.08,6.5,0.25,5.79,0.5,2,22,1,0,0,24,7,24,46,0,2,6,16,263,44,183,58,108,37,86,129,59,70,5,5,5,3,3,2,91.67,0.2,32,32,32,26,TRUE
101,152,8.16,100,3,1.9,1.9,1.97,1.23,17.97,1.29,14.06,2.61,2,18,0,0,1,31,8,31,36,6,6,1,18,694,88,508,126,359,98,276,379,152,227,7,7,8,5,3,2,92.11,0.19,59,59,61,38,FALSE
