AAvgCyclomatic,AAvgCyclomaticModified,AAvgCyclomaticStrict,AAvgEssential,AAvgLine,AAvgLineBlank,AAvgLineCode,AAvgLineComment,ACountClassBase,ACountClassCoupled,ACountClassDerived,ACountDeclClassMethod,ACountDeclClassVariable,ACountDeclInstanceMethod,ACountDeclInstanceVariable,ACountDeclMethod,ACountDeclMethodAll,ACountDeclMethodDefault,ACountDeclMethodPrivate,ACountDeclMethodProtected,ACountDeclMethodPublic,ACountLine,ACountLineBlank,ACountLineCode,ACountLineCodeDecl,ACountLineCodeExe,ACountLineComment,ACountSemicolon,ACountStmt,ACountStmtDecl,ACountStmtExe,AMaxCyclomatic,AMaxCyclomaticModified,AMaxCyclomaticStrict,AMaxEssential,AMaxInheritanceTree,AMaxNesting,APercentLackOfCohesion,ARatioCommentToCode,ASumCyclomatic,ASumCyclomaticModified,ASumCyclomaticStrict,ASumEssential,BAvgCyclomatic,BAvgCyclomaticModified,BAvgCyclomaticStrict,BAvgEssential,BAvgLine,BAvgLineBlank,BAvgLineCode,BAvgLineComment,BCountClassBase,BCountClassCoupled,BCountClassDerived,BCountDeclClassMethod,BCountDeclClassVariable,BCountDeclInstanceMethod,BCountDeclInstanceVariable,BCountDeclMethod,BCountDeclMethodAll,BCountDeclMethodDefault,BCountDeclMethodPrivate,BCountDeclMethodProtected,BCountDeclMethodPublic,BCountLine,BCountLineBlank,BCountLineCode,BCountLineCodeDecl,BCountLineCodeExe,BCountLineComment,BCountSemicolon,BCountStmt,BCountStmtDecl,BCountStmtExe,BMaxCyclomatic,BMaxCyclomaticModified,BMaxCyclomaticStrict,BMaxEssential,BMaxInheritanceTree,BMaxNesting,BPercentLackOfCohesion,BRatioCommentToCode,BSumCyclomatic,BSumCyclomaticModified,BSumCyclomaticStrict,BSumEssential,Smell
1,1,1,1,10.29,0,3.86,6.43,1,0,0,0,0,7,5,7,7,0,0,1,6,96,12,34,15,11,50,16,24,13,11,1,1,1,1,1,0,68.57,1.47,7,7,7,7,2.82,2.82,03.09,1.82,19.18,0.73,13,5.45,1,52,0,11,72,0,5,11,11,3,4,0,4,656,110,391,134,330,155,204,241,110,131,7,7,8,7,1,3,98.7,0.4,31,31,34,20,FALSE
2.26,2.26,2.63,1.11,15.37,0.79,8.68,5.89,2,11,0,0,1,19,7,19,30,0,7,1,11,369,40,181,43,109,149,85,129,41,88,9,9,13,3,3,2,88.16,0.82,43,43,50,21,1.93,1.93,1.95,1.1,11.49,0.37,7.24,3.9,3,20,4,1,2,40,6,41,52,0,6,12,23,647,74,336,91,190,238,152,241,92,149,8,8,8,3,3,3,91.16,0.71,79,79,80,45,FALSE
4,4,4.33,1,16.33,0,16.33,0,1,1,0,1,1,2,0,3,3,1,0,1,1,54,3,51,13,36,0,22,35,12,23,10,10,11,1,2,2,66.67,0,12,12,13,3,1.73,1.73,1.8,1,6.87,0,06.07,0.8,1,1,0,0,4,15,8,15,15,8,0,2,5,167,27,107,42,61,33,57,78,37,41,10,10,10,1,2,1,86.11,0.31,26,26,27,15,TRUE
2.38,2.38,2.42,1.96,21.23,1.54,13.42,7.27,1,17,0,26,7,0,0,26,26,0,3,0,23,1008,110,604,122,309,347,233,342,116,226,9,9,10,8,1,5,89.56,0.57,62,62,63,51,3.28,3.25,3.59,1.64,28.1,2.31,19.33,7.46,1,92,0,137,31,1,0,138,138,6,28,0,104,4338,494,2780,473,1713,1205,1191,1692,452,1240,61,61,69,8,1,4,96.61,0.43,452,449,496,226,TRUE
3.28,3.25,3.59,1.64,28.1,2.31,19.33,7.46,1,92,0,137,31,1,0,138,138,6,28,0,104,4338,494,2780,473,1713,1205,1191,1692,452,1240,61,61,69,8,1,4,96.61,0.43,452,449,496,226,2.2,2.2,2.88,01.08,16.4,0.8,10.56,5.84,1,9,1,0,0,25,8,25,25,0,3,0,22,480,47,276,75,136,177,101,157,65,92,11,11,11,3,1,4,88,0.64,55,55,72,27,TRUE
3.28,3.25,3.59,1.64,28.1,2.31,19.33,7.46,1,92,0,137,31,1,0,138,138,6,28,0,104,4338,494,2780,473,1713,1205,1191,1692,452,1240,61,61,69,8,1,4,96.61,0.43,452,449,496,226,2.27,2.27,2.57,1.73,21.73,0.86,11.16,10.68,1,21,4,4,15,33,3,37,37,0,2,2,33,1104,94,480,132,241,569,168,266,101,165,15,15,22,13,1,5,96.1,1.19,84,84,95,64,TRUE
03.03,3,3.42,1.85,22.28,1.55,15.77,5.99,1,28,0,3,20,75,17,78,202,3,12,4,59,2062,234,1276,213,748,632,494,744,212,532,22,22,29,18,2,4,96.05,0.5,236,234,267,144,2.27,2.27,2.57,1.73,21.73,0.86,11.16,10.68,1,21,4,4,15,33,3,37,37,0,2,2,33,1104,94,480,132,241,569,168,266,101,165,15,15,22,13,1,5,96.1,1.19,84,84,95,64,TRUE
3.2,3.2,3.2,1,9.6,0.2,8.8,0.6,1,6,1,0,0,5,1,5,87,0,0,0,5,69,6,47,10,28,16,26,41,13,28,5,5,5,1,5,3,20,0.34,16,16,16,5,7.76,7.23,8.37,1.27,38.55,2.2,32.96,3.6,1,111,0,0,4,136,4,136,375,0,42,0,94,5426,423,4514,691,3377,517,2275,3201,624,2577,55,49,58,6,2,9,78.12,0.11,1056,983,1138,173,FALSE
1,1,1,1,3.64,0,2.97,1.15,1,95,24,0,0,239,0,239,239,0,0,0,239,885,0,713,354,119,287,119,359,240,119,1,1,1,1,1,0,0,0.4,239,239,239,239,1.86,1.86,1.86,1,9.43,1,7.14,1.71,1,7,2,0,0,7,2,7,111,0,0,1,6,85,12,54,14,30,22,31,45,17,28,4,4,4,1,6,2,57.14,0.41,13,13,13,7,TRUE
1.64,1.64,1.64,1,9.91,0,5.73,4.18,1,4,0,0,0,11,2,11,51,5,0,0,6,177,12,67,18,38,98,30,47,18,29,3,3,3,1,4,1,72.73,1.46,18,18,18,11,1,1,1,1,3.64,0,2.97,1.15,1,95,24,0,0,239,0,239,239,0,0,0,239,885,0,713,354,119,287,119,359,240,119,1,1,1,1,1,0,0,0.4,239,239,239,239,FALSE
