chains,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxNesting,RatioCommentToCode,Smell
9,9,19,2,17,3,13,0,6,4,11,14,3,11,3,3,3,1,1,0,FALSE
9,6,4,0,4,2,1,0,1,1,1,2,1,1,1,1,1,1,0,0,FALSE
9,6,8,0,8,2,5,0,5,2,6,8,3,5,2,2,2,1,1,0,FALSE
7,6,4,0,4,2,1,0,1,1,1,2,1,1,1,1,1,1,0,0,FALSE
7,6,4,0,4,2,1,0,1,1,1,2,1,1,1,1,1,1,0,0,FALSE
6,10,71,3,39,7,25,30,7,10,16,24,5,19,9,9,10,4,5,0.77,FALSE
5,2,9,0,9,1,5,0,4,3,2,5,1,4,3,3,3,3,2,0,TRUE
5,5,11,0,11,2,9,1,4,6,10,16,3,13,6,6,6,6,2,0.09,FALSE
5,2,9,0,9,2,6,0,3,2,3,5,2,3,2,2,2,1,1,0,FALSE
5,1,31,0,27,1,17,4,2,2,10,19,5,14,2,2,2,1,0,0.15,FALSE
5,14,32,2,29,3,20,2,3,54,13,21,3,18,8,8,8,1,2,0.07,FALSE
4,17,370,40,121,24,96,209,35,3584,85,102,29,73,19,19,19,4,4,1.73,FALSE
4,93,762,57,507,12,380,200,54,999999999,200,346,14,332,146,146,190,1,5,0.39,FALSE
4,3,9,0,3,1,1,6,2,1,1,2,1,1,1,1,1,1,0,2,TRUE
4,22,59,9,47,4,43,5,6,15,21,28,6,22,26,7,26,12,3,0.11,FALSE
