AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Smell
1.00,1,1,1,3,0,3,0,2,2,0,0,1,1,5,1,1,1,0,0,0,35,7,11,8,4,17,7,9,8,1,1,1,1,1,1,0,83.33,1.55,1,1,1,1,FALSE
1.00,1,1,1,3,0,2.5,1.5,1,0,0,0,0,2,0,2,35,0,0,1,1,32,7,7,3,1,21,1,4,3,1,1,1,1,1,2,0,0,3,2,2,2,2,FALSE
13.00,13,14,12.5,69,5,40.5,24,2,2,0,0,0,2,4,2,2,0,0,0,2,192,22,88,16,52,84,39,65,18,47,24,24,26,24,1,5,0,0.95,26,26,28,25,FALSE
1.00,1,1,1,14,0,14,0,1,3,0,0,0,1,25,1,1,0,0,0,1,109,17,41,27,12,51,37,39,27,12,1,1,1,1,1,0,52,1.24,1,1,1,1,FALSE
2.00,2,2,1,7,0,7,0,1,3,0,0,0,1,0,1,16,0,0,0,1,11,2,9,2,4,1,2,5,2,3,2,2,2,1,3,1,0,0.11,2,2,2,1,TRUE
6.50,6.5,7.5,3.5,37,3,29,5.5,1,0,0,1,4,1,3,2,2,0,1,0,1,117,10,85,19,63,24,55,70,18,52,12,12,14,6,1,3,71.43,0.28,13,13,15,7,FALSE
0.00,0,0,0,0,0,0,0,1,0,0,0,161,0,0,0,0,0,0,0,0,195,11,163,162,161,23,161,162,162,0,0,0,0,0,1,0,0,0.14,0,0,0,0,FALSE
1.00,1,1,1,5,0,5,1,1,0,0,0,0,1,0,1,22,0,0,0,1,19,4,8,4,2,9,2,4,2,2,1,1,1,1,2,0,0,1.12,1,1,1,1,FALSE
1.50,1.5,1.5,1,10,0,10,0,1,1,0,0,0,2,5,2,2,2,0,0,0,49,7,27,9,14,16,17,21,9,12,2,2,2,1,1,1,20,0.59,3,3,3,2,TRUE
4.00,4,4,1,23,1,20,2,1,0,0,0,1,1,1,1,1,0,0,0,1,32,2,24,7,18,6,12,17,6,11,4,4,4,1,2,1,0,0.25,4,4,4,1,FALSE
1.00,1,1,1,3,0,3,0,2,1,0,0,1,2,1,2,2,0,1,0,1,19,3,10,5,3,6,4,7,5,2,1,1,1,1,1,0,50,0.6,2,2,2,2,TRUE
1.00,1,1,1,3,0,3,0,2,1,0,0,1,2,1,2,2,0,1,0,1,19,3,10,5,3,6,4,7,5,2,1,1,1,1,1,0,50,0.6,2,2,2,2,TRUE
1.50,1.5,1.5,1,10.5,0.75,6,4.75,1,5,1,0,5,4,0,4,110,0,0,0,4,95,17,40,19,20,43,14,21,10,11,3,3,3,1,4,1,75,01.07,6,6,6,4,TRUE
1.00,1,1,1,10,0,4.25,6.5,1,3,0,0,0,4,0,4,59,0,0,0,4,47,4,20,11,4,26,4,9,5,4,1,1,1,1,4,0,0,1.3,4,4,4,4,FALSE
1.00,1,1,1,12,0,7,5,1,5,1,0,0,1,1,1,4,0,0,1,0,31,5,11,4,5,16,3,5,3,2,1,1,1,1,2,0,100,1.45,1,1,1,1,TRUE
