GroupedVariables,Constants,Primitives,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Smell
1,0,14,1,1,1,1,4.18,0,4.18,0,2,0,0,0,0,11,10,11,24,0,0,0,11,79,12,60,27,21,7,31,43,22,21,1,1,1,1,3,0,81.82,0.12,11,11,11,11,TRUE
1,0,9,4.49,4.49,5.31,2.29,23.11,1.6,16.77,4.97,1,5,8,0,5,35,0,35,45,0,3,29,3,1077,105,713,128,480,267,377,560,131,429,17,17,27,17,2,5,98.29,0.37,157,157,186,80,FALSE
0,0,8,5.62,5.45,7.43,2.41,30.21,2.15,22.26,06.01,3,59,0,2,56,89,54,91,91,4,17,12,58,3431,365,2435,435,1703,688,1096,1654,409,1245,146,146,190,13,1,8,95.13,0.28,511,496,676,219,FALSE
0,0,8,1,1,1,1,35.67,0.78,8.11,26.78,1,2,0,0,0,9,0,9,9,0,0,0,9,332,16,75,33,33,241,8,18,10,8,1,1,1,1,2,0,0,3.21,9,9,9,9,TRUE
1,0,7,3.12,3.12,4.25,1.58,35.6,2.15,16.23,17.54,2,3,0,14,5,34,7,48,48,1,20,4,23,1935,167,815,163,561,969,332,475,127,348,15,15,27,7,2,4,85.94,1.19,150,150,204,76,TRUE
1,0,8,3.67,3.51,4.64,1.84,37.01,1.78,17.87,17.8,3,5,0,16,25,53,18,69,69,1,18,2,48,3156,251,1451,341,979,1520,583,837,240,597,31,31,49,9,2,4,94.98,01.05,253,242,320,127,TRUE
0,25,26,03.01,2.71,3.32,2.44,20.42,1.14,9.89,9.58,6,6,3,0,25,84,2,84,84,25,1,8,50,1980,209,861,191,544,929,362,573,186,387,50,43,55,40,1,5,97.27,01.08,253,228,279,205,FALSE
0,46,46,1,1,1,1,4,0,1,3,1,0,46,1,1,0,1,0,0,0,1,214,4,50,49,46,160,48,49,49,0,1,1,1,1,0,3.2,1,1,1,1,253,228,279,205,FALSE
0,14,14,4.91,4.61,5.58,1.61,33.3,3.36,18.39,12.52,4,25,1,0,21,33,26,33,63,0,1,17,15,1826,251,917,180,607,703,412,604,139,465,19,19,22,4,2,5,92.65,0.77,162,152,184,53,TRUE
0,16,16,5.38,5.33,07.02,2.4,35.85,2.27,23.04,11.35,3,36,0,9,33,43,35,52,52,5,8,3,36,3174,392,1807,471,1155,1047,877,1248,411,837,44,44,66,17,1,6,95.39,0.58,280,277,365,125,FALSE
0,8,57,3,3,3,1,21.13,1.81,13.23,6.65,3,9,10,105,96,71,105,2,19,19,65,2747,407,1504,397,1060,899,818,1079,368,711,26,21,36,7,4,0.6,287,271,345,144,280,277,365,125,FALSE
0,23,23,1,1,1,1,11.62,0,1,10.62,1,0,23,8,8,0,8,0,0,0,8,201,14,39,38,23,148,33,34,34,0,1,1,1,1,0,3.79,8,8,8,8,280,277,365,125,FALSE
0,0,2,4,4,5,2,27.13,02.05,18.96,6.88,10,0,49,129,129,117,129,23,15,6,85,4604,592,2788,753,1880,1336,1317,1876,640,1236,65,65,78,13,6,0.48,566,562,674,201,280,277,365,125,FALSE
0,54,55,12.45,11,15.09,2.55,67.82,3.64,49.09,15.09,1,23,0,1,96,10,59,11,11,1,1,1,8,1671,112,1131,238,1006,428,700,819,238,581,73,57,79,8,1,6,95.6,0.38,137,121,166,28,TRUE
0,14,34,07.04,6.74,8.26,03.02,49.46,3.7,31.85,14.93,1,37,2,0,15,46,36,46,100,0,0,8,38,2584,294,1547,311,1047,791,677,986,249,737,28,26,37,12,3,6,87.21,0.51,324,310,380,139,FALSE
