AAvgCyclomatic,AAvgCyclomaticModified,AAvgCyclomaticStrict,AAvgEssential,AAvgLine,AAvgLineBlank,AAvgLineCode,AAvgLineComment,ACountClassBase,ACountClassCoupled,ACountClassDerived,ACountDeclClassMethod,ACountDeclClassVariable,ACountDeclInstanceMethod,ACountDeclInstanceVariable,ACountDeclMethod,ACountDeclMethodAll,ACountDeclMethodDefault,ACountDeclMethodPrivate,ACountDeclMethodProtected,ACountDeclMethodPublic,ACountLine,ACountLineBlank,ACountLineCode,ACountLineCodeDecl,ACountLineCodeExe,ACountLineComment,ACountSemicolon,ACountStmt,ACountStmtDecl,ACountStmtExe,AMaxCyclomatic,AMaxCyclomaticModified,AMaxCyclomaticStrict,AMaxEssential,AMaxInheritanceTree,AMaxNesting,APercentLackOfCohesion,ARatioCommentToCode,ASumCyclomatic,ASumCyclomaticModified,ASumCyclomaticStrict,ASumEssential,BAvgCyclomatic,BAvgCyclomaticModified,BAvgCyclomaticStrict,BAvgEssential,BAvgLine,BAvgLineBlank,BAvgLineCode,BAvgLineComment,BCountClassBase,BCountClassCoupled,BCountClassDerived,BCountDeclClassMethod,BCountDeclClassVariable,BCountDeclInstanceMethod,BCountDeclInstanceVariable,BCountDeclMethod,BCountDeclMethodAll,BCountDeclMethodDefault,BCountDeclMethodPrivate,BCountDeclMethodProtected,BCountDeclMethodPublic,BCountLine,BCountLineBlank,BCountLineCode,BCountLineCodeDecl,BCountLineCodeExe,BCountLineComment,BCountSemicolon,BCountStmt,BCountStmtDecl,BCountStmtExe,BMaxCyclomatic,BMaxCyclomaticModified,BMaxCyclomaticStrict,BMaxEssential,BMaxInheritanceTree,BMaxNesting,BPercentLackOfCohesion,BRatioCommentToCode,BSumCyclomatic,BSumCyclomaticModified,BSumCyclomaticStrict,BSumEssential,Smell
7.72,6.62,8.19,5.57,26.26,0.03,24.41,2.45,1,112,0,0,0,58,8,58,111,55,1,0,2,1757,65,1434,310,1079,295,672,1055,308,747,76,73,79,70,2,10,77.59,0.21,448,384,475,323,1,1,1,1,17.32,0,2.92,14.4,1,45,1,0,0,53,0,53,53,51,0,0,2,992,51,157,54,49,784,49,103,54,49,1,1,1,1,1,0,0,4.99,53,53,53,53,TRUE
5.52,5.52,5.84,2.19,35.94,1.97,29.84,6.16,1,69,0,11,6,20,6,31,55,2,7,6,16,1215,88,949,311,662,241,489,662,232,430,20,20,20,12,2,6,92.47,0.25,171,171,181,68,4.33,4.33,4.83,1.79,35.25,1.62,22.42,12.58,3,36,3,0,2,24,16,24,24,0,0,8,16,921,67,558,131,385,332,249,352,88,264,19,19,19,10,1,5,81.48,0.59,104,104,116,43,FALSE
1.24,1.24,1.24,1,11.84,0.2,4,7.72,1,10,0,0,0,25,11,25,39,0,0,11,14,351,32,113,44,46,208,43,74,37,37,3,3,3,1,2,1,89.82,1.84,31,31,31,25,1,1,1,1,16.43,0,3,14.43,1,1,1,0,5,14,0,14,14,0,0,0,14,318,19,49,20,19,264,19,34,20,14,1,1,1,1,1,0,100,5.39,14,14,14,14,TRUE
7.25,07.08,8.25,2.33,27.42,0.42,25.67,2.83,1,17,2,0,0,12,1,12,123,0,1,1,10,361,14,311,57,227,54,172,252,74,178,50,48,61,17,7,6,25,0.17,87,85,99,28,2,2,2,1.29,10,0.86,8.71,0.86,1,10,2,0,0,7,1,7,111,0,0,1,6,90,13,64,16,41,16,38,53,19,34,4,4,4,3,6,2,28.57,0.25,14,14,14,9,TRUE
10.50,10.4,12.4,3.8,42.5,1.7,36.6,5.8,1,34,2,0,0,10,2,10,97,0,0,0,10,464,28,370,44,270,82,171,270,53,217,64,64,80,29,5,6,35,0.22,105,104,124,38,6,5.93,6.93,2.33,23.33,0.8,20.07,3.6,2,32,3,0,0,15,7,15,87,0,0,0,15,393,28,310,50,207,75,147,234,62,172,37,37,44,17,4,6,78.1,0.24,90,89,104,35,TRUE
9.25,9.25,9.38,1,44,0,38,7.75,1,2,0,0,0,8,0,8,98,0,0,0,8,367,8,306,35,204,67,138,212,49,163,11,11,11,1,3,5,0,0.22,74,74,75,8,7.52,7.52,8.22,2.46,36.91,0.11,33.72,5.11,1,9,1,1,4,45,9,46,90,1,4,0,41,1829,58,1573,181,1086,294,619,956,185,771,47,47,60,6,2,6,63.38,0.19,346,346,378,113,TRUE
9.88,7.88,11,5.25,35.38,0.06,33.62,2.94,1,17,0,0,0,16,17,16,50,1,0,2,13,642,22,571,63,406,71,229,359,59,300,69,47,77,42,3,6,84.19,0.12,158,126,176,84,1.2,1.2,1.2,1,4.6,0,4.6,0.4,1,4,2,0,0,5,2,5,34,0,0,0,5,47,6,27,9,12,16,11,18,9,9,2,2,2,1,2,1,60,0.59,6,6,6,5,TRUE
03.04,2.1,3.22,1.57,16.78,0.32,16.15,0.54,1,100,2,3,3,433,2,436,443,0,22,0,414,7425,193,7050,1090,5820,283,1778,2646,989,1657,169,28,169,20,2,5,99.04,0.04,1327,915,1402,683,2.57,2.43,2.57,1.57,20.57,1.14,18.57,1.71,1,10,1,0,1,7,3,7,7,0,0,0,7,173,10,136,56,74,33,28,43,18,25,12,11,12,5,1,3,78.57,0.24,18,17,18,11,FALSE
3.62,3.27,3.73,1.8,17.12,0.23,12.82,5.62,2,3,0,0,1,40,8,40,50,0,1,12,27,748,17,524,91,374,269,282,414,103,311,41,41,41,16,2,4,91.67,0.51,145,131,149,72,1.7,1.5,1.7,1,6.4,0,6.4,0.7,1,1,1,0,0,10,2,10,10,0,0,2,8,120,12,68,15,43,47,34,50,15,35,5,5,5,1,1,2,65,0.69,17,15,17,10,FALSE
4.71,4.71,4.71,1.14,23.71,0.43,19.79,3.64,2,31,0,0,0,14,2,14,22,2,11,1,0,362,11,281,66,199,73,158,231,84,147,12,12,12,3,3,4,82.14,0.26,66,66,66,16,2.17,2.17,2.17,1.83,8.17,0,7,1.33,1,2,6,0,0,6,2,6,8,0,0,0,6,81,8,46,12,27,28,22,36,14,22,5,5,5,4,2,4,50,0.61,13,13,13,11,TRUE
